Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_036985775.1	ASM3698577v1	Gammaproteobacteria bacterium					BMS9Abin08		Annotation submitted by JAMSTEC	2089573	Contig	2023-12-10	BTQH01	11599								Illumina MiSeq	JAMSTEC	PRJDB5792	SAMD00641654	1863	1770					
GCA_029881425.1	ASM2988142v1	Gammaproteobacteria bacterium					8_1_July_SF_Bin40		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2268933	Contig	2023-04-26	JAOUMO01	11592								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443140	2338	2295	9				
GCA_030066495.1	ASM3006649v1	Gammaproteobacteria bacterium					MO_077.B26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4270524	Contig	2023-05-23	JASJBN01	11591								Illumina NovaSeq	Scripps Institution of Oceanography	PRJNA611818	SAMN33830755	3939	3853	52				
GCA_038924635.1	ASM3892463v1	Gammaproteobacteria bacterium					SLM_LV1_30a-E07			575048	Contig	2024-04-30	JBCKUS01	11576								Illumina HiSeq	Korea Polar Research Institute, Republic of Korea	PRJNA1084198	SAMN40275243							
GCA_029860365.1	ASM2986036v1	Gammaproteobacteria bacterium					24_Jan_SF_Bin7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3443970	Contig	2023-04-24	JAOUBL01	11571								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442851	3451	3389	23				
GCA_011052885.1	ASM1105288v1	Gammaproteobacteria bacterium					HyVt-384		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2690090	Contig	2020-03-02	DRIC01	11559								Illumina HiSeq 2000	The University of Hong Kong	PRJNA480137	SAMN09638577	3020	2499	488				
GCA_030832385.1	ASM3083238v1	Gammaproteobacteria bacterium					SFB_Fresh_Co_110			2448773	Contig	2023-08-18	JAURJK01	11556								Illumina HiSeq	Stanford University	PRJNA819083	SAMN35717211							
GCA_009922075.1	ASM992207v1	Gammaproteobacteria bacterium					WB5_5_101		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2335265	Contig	2020-01-23	RFWN01	11553								Illumina	Georgia Institute of Technology	PRJNA495371	SAMN10222990	2541	2456	47				
GCA_963693565.1	CBN3_Surface.9	Gammaproteobacteria bacterium					CBN3_Surface.9			4549219	Contig	2023-12-10	CAVOAW01	11546								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238518							
GCA_004357305.1	ASM435730v1	Gammaproteobacteria bacterium					CR04bin14		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3250032	Contig	2019-03-19	SMWM01	11544								Illumina HiSeq	Scripps Institution of Oceanography	PRJNA526329	SAMN11097053	3184	3127	30				
GCA_015664245.1	ASM1566424v1	Gammaproteobacteria bacterium					SZUA-1253		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2683299	Contig	2020-11-23	DQQR01	11542								Illumina HiSeq 2000	The University of Hong Kong	PRJNA488180	SAMN09926406	2701	2628	35				
GCA_005878065.1	ASM587806v1	Gammaproteobacteria bacterium					GP_19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3092627	Scaffold	2019-05-28	VBNK01	11533	11939							Illumina HiSeq	Jill Banfield's Lab at Berkeley	PRJNA449266	SAMN11380628	3090	2931	119				
GCA_029881475.1	ASM2988147v1	Gammaproteobacteria bacterium					8_1_July_SF_Bin39		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2305494	Contig	2023-04-26	JAOUMN01	11519								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443139	2493	2416	31				
GCA_028871915.1	ASM2887191v1	Gammaproteobacteria bacterium					REEB196		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1976802	Contig	2023-02-27	JAGWLY01	11516								Illumina NovaSeq	Sun Yat-sen University	PRJNA675967	SAMN16745095	1996	1943	18				
GCA_023144715.1	ASM2314471v1	Gammaproteobacteria bacterium					RS_1_15		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1693997	Contig	2022-04-26	JAGLFC01	11514								Illumina HiSeq	Institute of Oceanology, Chinese Academy of Sciences	PRJNA707313	SAMN18451839	1719	1698	9				
GCA_005773725.1	ASM577372v1	Gammaproteobacteria bacterium					F1-120-MAGs011			4503226	Contig	2019-05-24	SXHD01	11503								Illumina	Nanjing Institute of Geography & Limnology, Chinese Academy of Sciences	PRJNA531348	SAMN11368580							
GCA_003645245.1	ASM364524v1	Gammaproteobacteria bacterium					B37_G9		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	8214596	Contig	2018-10-15	QNEO01	11489								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09215291	6799	6555	195				
GCA_030147705.1	ASM3014770v1	Gammaproteobacteria bacterium					BWSM_83			2658818	Contig	2023-06-02	JASBUV01	11488								Illumina HiSeq	Shandong university	PRJNA963066	SAMN34434894							
GCA_036444695.1	ASM3644469v1	Gammaproteobacteria bacterium					MT1bin.7		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2639926	Contig	2024-02-07	JAZFPR01	11485								Illumina	Tsinghua University	PRJNA1051299	SAMN38797342	2874	2789	37				
GCA_030618475.1	ASM3061847v1	Gammaproteobacteria bacterium					CSMAG_2845			2507687	Contig	2023-08-03	JAUXDG01	11481								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34051038							
GCA_028066745.1	ASM2806674v1	Gammaproteobacteria bacterium					IB2_deep_metabat_bins_2.tsv.003		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2131461	Scaffold	2023-01-26	JALCBF01	11469	18332							Illumina NovaSeq	University of Queensland	PRJNA807825	SAMN26001864	1911	1846	21				
GCA_947460775.1	RE-23may17-807	Gammaproteobacteria bacterium					RE-23may17-807			3575541	Contig	2022-12-02	CANHKL01	11469								Illumina NovaSeq 6000	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	PRJEB35770	SAMEA112173976							
GCA_030617485.1	ASM3061748v1	Gammaproteobacteria bacterium					CSMAG_2630			1553978	Contig	2023-08-03	JAUWVK01	11464								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34050823							
GCA_003696905.1	ASM369690v1	Gammaproteobacteria bacterium					J047		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2677264	Contig	2018-10-29	RFHJ01	11463								Illumina HiSeq	California Institute of Technology	PRJNA392119	SAMN10119947	2745	2686	25				
GCA_030066245.1	ASM3006624v1	Gammaproteobacteria bacterium					MO_133.B26		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3868362	Contig	2023-05-23	JASJBY01	11460								Illumina NovaSeq	Scripps Institution of Oceanography	PRJNA611818	SAMN33830766	3562	3482	50				
GCA_032126475.1	ASM3212647v1	Gammaproteobacteria bacterium					MAG_345_bin-02			3080039	Contig	2023-09-27	JAQBBD01	11448								Illumina NovaSeq	Stockholm University	PRJNA891615	SAMN31710429							
GCA_027292925.1	ASM2729292v1	Gammaproteobacteria bacterium					A5-S04_187		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3535076	Contig	2022-12-26	JAPUGI01	11424								Illumina NovaSeq 6000	Huazhong Agricultural University	PRJNA808646	SAMN30435884	3554	3473	58				
GCA_029884475.1	ASM2988447v1	Gammaproteobacteria bacterium					4_1_May_SF_Bin72		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3253755	Contig	2023-04-26	JAOUHT01	11414								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30443015	3238	3161	28				
GCA_019653235.1	ASM1965323v1	Gammaproteobacteria bacterium					Ct9H_90m.P27		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	470673	Contig	2021-05-08	BPBR01	11400								PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00290997	784	775					
GCA_035432565.1	ASM3543256v1	Gammaproteobacteria bacterium					AMR_MDS_5296		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1341166	Scaffold	2024-01-09	DAORTH01	11392	13638							Illumina MiSeq	CLUE-TERRA	PRJNA925477	SAMN32867513	1347	1291	23				
GCA_009839465.1	ASM983946v1	Gammaproteobacteria bacterium					SB0662_bin_59		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5252025	Scaffold	2020-01-09	VXPP01	11388	13334							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598296	4979	4785	150				
GCA_003646455.1	ASM364645v1	Gammaproteobacteria bacterium					B26_G4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3073478	Contig	2018-10-15	QNFU01	11380								Illumina HiSeq	The University of Texas at Austin	PRJNA362212	SAMN09215110	3012	2922	57				
GCA_029862865.1	ASM2986286v1	Gammaproteobacteria bacterium					13_May_SF_Bin84		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3778617	Contig	2023-04-24	JAOTWO01	11380								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442724	3787	3724	29				
GCA_009920215.1	ASM992021v1	Gammaproteobacteria bacterium					WB5_5_102		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1048737	Contig	2020-01-23	RGAK01	11365								Illumina	Georgia Institute of Technology	PRJNA495371	SAMN10223091	1266	1200	38				
GCA_030425845.1	ASM3042584v1	Gammaproteobacteria bacterium					4_bin.23			1907324	Contig	2023-07-11	JAUHZG01	11358								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083647							
GCA_013151695.1	ASM1315169v1	Gammaproteobacteria bacterium					M_MetaBat.218		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3962678	Scaffold	2020-05-22	JAADHW01	11349	12900							Illumina HiSeq	Lab of Microbial Oceanography	PRJNA557557	SAMN12405770	4037	3918	82				
GCA_022822245.1	ASM2282224v1	Gammaproteobacteria bacterium					jk18x9bins.76			4828019	Contig	2022-04-06	JAJECB01	11343								Illumina NovaSeq6000	Stony Brook University	PRJNA768976	SAMN22072654							
GCA_022712755.1	ASM2271275v1	Gammaproteobacteria bacterium					MC-11			2952284	Contig	2022-03-28	JAFLJY01	11340								Illumina MiSeq	Nanyang Technological University	PRJNA693108	SAMN17386799							
GCA_027440695.1	ASM2744069v1	Gammaproteobacteria bacterium					clean6716			1917545	Contig	2022-12-27	DAIARX01	11332								Illumina	an eLibrary of Microbial Systematics and Genomics	PRJNA834572	SAMN28414267							
GCA_963694465.1	CBN3_SCM.32	Gammaproteobacteria bacterium					CBN3_SCM.32			3336376	Contig	2023-12-10	CAVODX01	11327								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238570							
GCA_026710205.1	ASM2671020v1	Gammaproteobacteria bacterium					CAR1_bin_22		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2533082	Scaffold	2022-12-06	JAPORM01	11302	12218							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15854981	2415	2349	30				
GCA_003158155.1	20120600_S1D	Gammaproteobacteria bacterium					bog_1214			5217216	Scaffold	2018-05-24	PMHD01	11298	11944							Illumina HiSeq2000	Australian Centre for Ecogenomics, The University of Queensland	PRJNA386568	SAMN08179643							
GCA_037670865.1	ASM3767086v1	Gammaproteobacteria bacterium					ArSW.bin.30		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1256976	Contig	2024-03-26	JASJIF01	11298								Illumina NovaSeq	University of Calgary	PRJNA929556	SAMN32981149	1377	1345	3				
GCA_038147535.1	SD9012_S6.scaffolds.fasta	Gammaproteobacteria bacterium					SD9012_S6_metabat_bins_sens.tsv.092			1040141	Scaffold	2024-04-15	JAYQTX01	11291	22602							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37862541							
GCA_030432115.1	ASM3043211v1	Gammaproteobacteria bacterium					Co_bin.233			2536918	Contig	2023-07-11	JAUIHY01	11289								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083873							
GCA_028407045.1	ASM2840704v1	Gammaproteobacteria bacterium					AH-736-A01		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	506360	Contig	2023-02-02	JAOOHR01	11282								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29374706	569	543	14				
GCA_035698405.1	ASM3569840v1	Gammaproteobacteria bacterium					SMAG_U903		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1681987	Contig	2024-01-16	DASSBU01	11271								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37963076	1670	1650	8				
GCA_018670615.1	ASM1867061v1	Gammaproteobacteria bacterium					SI037_bin81		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2963517	Contig	2021-06-02	JABHJG01	11269								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14914202	2982	2914	37				
GCA_016874215.1	JGI 2017-08-21	Gammaproteobacteria bacterium					K_Offshore_120m_m1_194		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1805102	Contig	2021-02-11	VGUO01	11265								Illumina HiSeq 2500-1TB	University of Wisconsin - Madison	PRJNA523022	SAMN10966792	1876	1807	37				
GCA_035527955.1	ASM3552795v1	Gammaproteobacteria bacterium					SMAG_U14246		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3039108	Contig	2024-01-10	DATKZN01	11256								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37938726	3047	2988	16				
GCA_030040715.1	ASM3004071v1	Gammaproteobacteria bacterium					JOPF146			4116629	Contig	2023-05-19	JASHTF01	11236								Illumina HiSeq	National University of Singapore	PRJNA883528	SAMN35020238							
GCA_018816425.1	ASM1881642v1	Gammaproteobacteria bacterium					MM_PW_MetaG.mb.12		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2526142	Contig	2021-06-09	JAHIVZ01	11232								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19297866	2565	2488	36				
GCA_028373665.1	ASM2837366v1	Gammaproteobacteria bacterium					AH-545-F16		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	272775	Contig	2023-02-01	JAONCD01	11226								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29367139	306	292	5				
GCA_015488495.1	ASM1548849v1	Gammaproteobacteria bacterium					S012_118			2484909	Contig	2020-11-16	WFNS01	11223								Illumina HiSeq	Portland State University	PRJNA546572	SAMN12876372							
GCA_002694655.1	ASM269465v1	Gammaproteobacteria bacterium					IN1003		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	824098	Contig	2017-10-24	NZMU01	11200								Illumina HiSeq	Tara Oceans Consortium	PRJNA391943	SAMN07620411	896	859	16				
GCA_031396115.1	ASM3139611v1	Gammaproteobacteria bacterium					SOY_4_C_metabat_241			2677194	Contig	2023-09-12	JANNKD01	11172								Illumina NovaSeq	EPFL	PRJNA808857	SAMN29839455							
GCA_027297825.1	ASM2729782v1	Gammaproteobacteria bacterium					KW1-S05_58		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2080000	Contig	2022-12-26	JAPUHH01	11159								Illumina NovaSeq 6000	Huazhong Agricultural University	PRJNA808646	SAMN30435896	2240	2160	51				
GCA_009885665.1	ASM988566v1	Gammaproteobacteria bacterium					Bin_66_13			1540532	Contig	2020-01-15	VFKI01	11158								Illumina HiSeq	University of Ottawa	PRJNA525692	SAMN12036134							
GCA_029860525.1	ASM2986052v1	Gammaproteobacteria bacterium					21_Oct_SF_Bin29		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3152997	Contig	2023-04-24	JAOUBA01	11148								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442840	3184	3129	21				
GCA_038113175.1	139540_COM.scaffolds.fasta	Gammaproteobacteria bacterium					139540_COM_metabat_bins_2.tsv.193_sub		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1192977	Scaffold	2024-04-15	JAYNOI01	11142	12425							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37860179	1263	1248					
GCA_027440675.1	ASM2744067v1	Gammaproteobacteria bacterium					clean6709			1960091	Scaffold	2022-12-27	DAIART01	11115	11115							Illumina	an eLibrary of Microbial Systematics and Genomics	PRJNA834572	SAMN28414263							
GCA_003560015.1	ASM356001v1	Gammaproteobacteria bacterium					CSSed10_149R1			2478527	Contig	2018-09-13	PWJN01	11114								Illumina HiSeq	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	PRJNA434545	SAMN08574452							
GCA_016844485.1	ASM1684448v1	Gammaproteobacteria bacterium					CoA_2_bin.44		Annotation submitted by Colorado State University	1583156	Scaffold	2021-02-09	JAENIZ01	11095	11228							Illumina HiSeq	Colorado State University	PRJNA579838	SAMN15194801	1738	1738					
GCA_022449405.1	ASM2244940v1	Gammaproteobacteria bacterium					ALOHA_A2.5_38		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1549339	Scaffold	2022-03-02	JAKUQV01	11078	11404							Illumina NextSeq	SCOPE	PRJNA352737	SAMN25999076	1692	1640	18				
GCA_002748505.1	ASM274850v1	Gammaproteobacteria bacterium					DOLJORAL78_55_23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1694115	Contig	2017-11-03	PDSN01	11066								Illumina	Stanford University School of Medicine	PRJNA174530	SAMN07757480	1642	1580	37				
GCA_023382035.1	ASM2338203v1	Gammaproteobacteria bacterium					FK_Sedi_A_Bin.112		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1731319	Scaffold	2022-05-17	JAMCUW01	11059	12432							Illumina HiSeq	Sun Yat-Sen University	PRJNA666095	SAMN27868214	1817	1753	36				
GCA_005878285.1	ASM587828v1	Gammaproteobacteria bacterium					GP_6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3432704	Scaffold	2019-05-28	VBMX01	11054	11541							Illumina HiSeq	Jill Banfield's Lab at Berkeley	PRJNA449266	SAMN11380615	3404	3233	137				
GCA_947467495.1	RE-9nov16-237	Gammaproteobacteria bacterium					RE-9nov16-237			2238975	Contig	2022-12-04	CANIIF01	10986								Illumina HiSeq 4000	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	PRJEB35770	SAMEA112174371							
GCA_030829425.1	ASM3082942v1	Gammaproteobacteria bacterium					SFB_18D_100_14			1783120	Scaffold	2023-08-18	JAURAQ01	10982	11393							Illumina HiSeq	Stanford University	PRJNA819083	SAMN35717214							
GCA_019654515.1	ASM1965451v1	Gammaproteobacteria bacterium					Ct9H_300m.P14		Annotation submitted by Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	1092081	Contig	2021-05-08	BPDX01	10981								PacBio Sequel; Illumina Miseq	Deep-Sea Bioresource Research Group , Research Center for Bioscience and Nanoscience (CeBN), Japan Agency for Marine-Earth Science and Technology (JAMSTEC)	PRJDB11069	SAMD00291055	1728	1715					
GCA_018825905.1	ASM1882590v1	Gammaproteobacteria bacterium					Undefined_mixed_planktonic.mb.64		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4631677	Contig	2021-06-09	JAHKAV01	10963								Illumina	Department of Ecology and Genetics, Limnology and Science for Life Laboratory, Uppsala University	PRJNA627556	SAMN19298782	4536	4436	32				
GCA_027251295.1	ASM2725129v1	Gammaproteobacteria bacterium					Sample_002_bin_12.filtered			2776923	Contig	2022-12-22	JAPNQR01	10945								Illumina HiSeq	University of Exeter	PRJNA767318	SAMN31749969							
GCA_018667515.1	ASM1866751v1	Gammaproteobacteria bacterium					SI072_bin4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3078051	Contig	2021-06-02	JABIUD01	10927								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14915189	3079	3021	31				
GCA_013041975.1	ASM1304197v1	Gammaproteobacteria bacterium					Site_C16		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2932084	Contig	2020-05-11	JABDQZ01	10925								Illumina NextSeq	Monash University	PRJNA623061	SAMN14538089	3132	3087	14				
GCA_007134575.1	ASM713457v1	Gammaproteobacteria bacterium					CSSed165cm_272			2710449	Contig	2019-07-18	SLKM01	10919								Illumina HiSeq	Institute for Biodiversity and Ecosystem dynamics, Faculty of Science, University of Amsterdam	PRJNA453733	SAMN10610457							
GCA_028067025.1	ASM2806702v1	Gammaproteobacteria bacterium					IB3_shallow_metabat_bins_2.tsv.004		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1856779	Scaffold	2023-01-26	JALCAY01	10895	17462							Illumina NovaSeq	University of Queensland	PRJNA807825	SAMN26001857	1685	1624	15				
GCA_028820395.1	ASM2882039v1	Gammaproteobacteria bacterium					RHO2_bin_47		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1824776	Scaffold	2023-02-23	JAPPJK01	10894	11673							Illumina	Australian Centre for Ecogenomics	PRJNA602572	SAMN15855475	1951	1893	27				
GCA_012841335.1	ASM1284133v1	Gammaproteobacteria bacterium					AS08sgBPME_292		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2748383	Contig	2020-04-25	DUUY01	10890								Illumina HiSeq 2500	Technical University of Denmark	PRJNA602310	SAMN13894577	2774	2702	32				
GCA_949528475.1	GEN_BGC Atlantic-Pacific 2011 bin.430 MAG	Gammaproteobacteria bacterium					bin.430 MAG		Annotation submitted by IDAEA-CSIC	1997704	Contig	2023-04-05	CATISL01	10888								Illumina Hiseq 2000	IDAEA-CSIC	PRJEB60184	SAMEA112746701	2039	2011					
GCA_029864945.1	ASM2986494v1	Gammaproteobacteria bacterium					13_Jan_SF_Bin23		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2701726	Contig	2023-04-24	JAOTSL01	10876								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442617	2582	2520	36				
GCA_024222475.1	ASM2422247v1	Gammaproteobacteria bacterium					Cca_21		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5219643	Contig	2022-07-12	JAAEPA01	10866								Illumina HiSeq	Kiel University	PRJNA503328	SAMN13632642	5012	4797	154				
GCA_947506185.1	CH-Jul18-167	Gammaproteobacteria bacterium					CH-Jul18-167			1654341	Contig	2022-12-04	CANNNX01	10856								Illumina NovaSeq 6000	BIOLOGY CENTRE ASCR, V.V.I., INSTITUTE OF HYDROBIO	PRJEB35770	SAMEA112172204							
GCA_029864925.1	ASM2986492v1	Gammaproteobacteria bacterium					13_Jan_SF_Bin29		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	3530601	Contig	2023-04-24	JAOTSM01	10855								Illumina HiSeq	University of Texas - Austin, Baker Lab	PRJNA865744	SAMN30442618	3541	3460	40				
GCA_028378925.1	ASM2837892v1	Gammaproteobacteria bacterium					AH-141-C04		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	349357	Contig	2023-02-01	JAOENX01	10831								Illumina NextSeq	Bigelow Laboratory for Ocean Sciences	PRJNA846736	SAMN29269994	343	329	8				
GCA_030430515.1	ASM3043051v1	Gammaproteobacteria bacterium					Co_bin.379			3221900	Contig	2023-07-11	JAUIKX01	10826								Illumina HiSeq	Inha University	PRJNA967453	SAMN36083950							
GCA_036507635.1	ASM3650763v1	Gammaproteobacteria bacterium					SMAG_U7863		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	4172249	Contig	2024-02-09	DATCIQ01	10822								Illumina HiSeq	Zhejiang University	PRJNA983538	SAMN37962234	4327	4225	60				
GCA_009837165.1	ASM983716v1	Gammaproteobacteria bacterium					SB0666_bin_19		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2625454	Scaffold	2020-01-09	VXUB01	10818	15139							Illumina NextSeq	University of Queensland	PRJNA555144	SAMN12598412	2453	2318	98				
GCA_038127805.1	139577_S178.scaffolds.fasta	Gammaproteobacteria bacterium					139577_S178_maxbin_bins.tsv.125_sub			2349267	Scaffold	2024-04-15	JAYPIJ01	10814	12661							Illumina NovaSeq	Australian Centre for Ecogenomics	PRJNA1024631	SAMN37861426							
GCA_032124855.1	ASM3212485v1	Gammaproteobacteria bacterium					MAG_354_bin-09			3811189	Contig	2023-09-27	JAQBCT01	10801								Illumina NovaSeq	Stockholm University	PRJNA891615	SAMN31710471							
GCA_008012255.1	ASM801225v1	Gammaproteobacteria bacterium					Bin_14_5		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1859286	Contig	2019-08-19	SSEI01	10791								Illumina HiSeq	Colorado School of Mines	PRJNA428383	SAMN10026494	1956	1842	68				
GCA_030618705.1	ASM3061870v1	Gammaproteobacteria bacterium					CSMAG_2835			3396130	Contig	2023-08-03	JAUXCW01	10791								Illumina HiSeq	Third Institute of Oceanography, Ministry of Natural Resources	PRJNA950938	SAMN34051028							
GCA_018665685.1	ASM1866568v1	Gammaproteobacteria bacterium					SI073_bin42		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1576131	Contig	2021-06-02	JABJBY01	10781								Illumina HiSeq 2000	The University of Melbourne	PRJNA630981	SAMN14915392	1683	1643	6				
GCA_002693065.1	ASM269306v1	Gammaproteobacteria bacterium					EAC721		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	783685	Contig	2017-10-24	NZNY01	10772								Illumina HiSeq	Tara Oceans Consortium	PRJNA391943	SAMN07620410	848	805	26				
GCA_020029545.1	ASM2002954v1	Gammaproteobacteria bacterium					CR_Sed_300A_bin.95			5102382	Contig	2021-09-17	JAIBJL01	10765								Illumina HiSeq	Colorado State University	PRJNA576070	SAMN18867730							
GCA_963694675.1	CBN3_Surface.14	Gammaproteobacteria bacterium					CBN3_Surface.14			3183423	Contig	2023-12-10	CAVOEY01	10731								Illumina NovaSeq	concordia university	PRJEB57575	SAMEA114238504							
GCA_038922695.1	ASM3892269v1	Gammaproteobacteria bacterium					SLM_LV1_0208-C07			833770	Contig	2024-04-30	JBCKWK01	10727								Illumina HiSeq	Korea Polar Research Institute, Republic of Korea	PRJNA1084198	SAMN40275287							
GCA_003155235.1	20120600_S2S	Gammaproteobacteria bacterium					bog_1216			3987863	Scaffold	2018-05-24	PMFT01	10716	11404							Illumina HiSeq2000	Australian Centre for Ecogenomics, The University of Queensland	PRJNA386568	SAMN08179679							
GCA_009922705.1	ASM992270v1	Gammaproteobacteria bacterium					WB5_5_146		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	1986949	Contig	2020-01-23	RFUY01	10716								Illumina	Georgia Institute of Technology	PRJNA495371	SAMN10222949	2233	2161	38				
